,year_month,year,month_num,month,no_of_rainy_days,maximum_rainfall_in_a_day,total_rainfall,mean_rh,rh_extremes_minimum,mean_sunshine_hrs,mean_temp,max_temperature,temp_extremes_min,temp_mean_daily_max,temp_mean_daily_min
55,1986-08,1986,8,Aug,11,28.4,72.9,77.3,40,5.6,28.3,34.2,21.9,31.9,25.2
56,1986-09,1986,9,Sep,22,97.6,396.0,84.4,54,4.8,26.7,32.4,21.2,30.6,23.6
57,1986-10,1986,10,Oct,20,65.6,227.3,85.0,57,5.0,26.9,32.6,22.5,30.9,24.3
58,1986-11,1986,11,Nov,21,40.5,256.7,84.1,53,4.5,26.6,32.8,22.8,30.9,24.1
59,1986-12,1986,12,Dec,16,131.7,367.2,85.2,55,5.4,26.3,32.0,22.5,30.3,23.9
60,1987-01,1987,1,Jan,16,127.4,568.6,86.0,56,4.0,25.5,31.4,22.1,28.8,23.4
61,1987-02,1987,2,Feb,7,34.8,86.9,79.0,47,9.2,26.6,33.0,22.8,31.6,23.7
62,1987-03,1987,3,Mar,12,40.9,132.5,83.2,50,6.9,27.5,33.3,23.0,32.1,24.8
63,1987-04,1987,4,Apr,10,27.7,72.5,82.8,51,6.2,27.9,34.6,22.5,32.6,25.1
64,1987-05,1987,5,May,16,81.4,270.0,84.6,59,5.6,27.6,33.2,22.4,31.7,25.0
65,1987-06,1987,6,Jun,15,30.7,126.6,80.7,47,6.8,28.7,33.5,22.0,32.4,26.0
66,1987-07,1987,7,Jul,11,21.6,80.9,81.3,55,6.7,28.1,33.7,22.5,31.6,25.4
67,1987-08,1987,8,Aug,16,48.2,191.9,83.6,57,5.1,27.4,33.8,22.5,31.1,25.0
68,1987-09,1987,9,Sep,11,44.5,129.9,82.5,51,5.4,27.6,33.6,21.2,31.7,24.6
69,1987-10,1987,10,Oct,9,5.9,22.6,82.1,49,5.8,27.9,33.7,23.5,32.5,25.2
70,1987-11,1987,11,Nov,17,77.7,347.6,84.0,54,4.5,27.3,33.3,22.9,31.7,24.3
71,1987-12,1987,12,Dec,11,24.3,72.8,84.6,57,4.8,26.4,32.8,22.7,30.4,24.2
72,1988-01,1988,1,Jan,15,69.0,237.5,84.3,57,5.9,26.8,33.1,23.2,30.8,24.5
73,1988-02,1988,2,Feb,9,46.7,158.1,83.2,55,6.7,27.1,33.8,23.6,32.0,24.6
74,1988-03,1988,3,Mar,15,70.1,186.8,85.3,45,5.2,27.3,34.7,22.5,31.3,24.8
75,1988-04,1988,4,Apr,13,22.8,109.6,84.5,54,5.4,27.8,33.7,24.2,32.4,25.2
76,1988-05,1988,5,May,14,76.7,229.6,82.7,53,5.6,28.4,34.2,23.3,32.0,25.8
77,1988-06,1988,6,Jun,13,69.4,252.2,81.6,45,6.5,28.0,33.6,22.2,31.8,24.9
78,1988-07,1988,7,Jul,15,75.6,305.4,84.0,57,6.0,27.3,33.8,21.0,31.2,24.6
79,1988-08,1988,8,Aug,14,19.0,80.1,84.9,54,4.9,27.0,32.7,22.6,30.8,24.5
80,1988-09,1988,9,Sep,14,187.3,440.4,84.5,51,4.8,27.1,33.3,21.7,31.0,24.5
81,1988-10,1988,10,Oct,17,39.8,134.6,83.2,46,4.1,27.5,34.5,22.4,31.5,24.5
82,1988-11,1988,11,Nov,23,111.9,401.4,86.8,58,3.7,26.3,32.8,22.1,30.3,23.7
83,1988-12,1988,12,Dec,11,22.0,62.9,81.1,58,5.7,26.2,31.6,23.0,30.4,23.9
84,1989-01,1989,1,Jan,10,53.0,189.7,84.1,55,5.8,26.5,32.8,22.6,30.9,23.9
85,1989-02,1989,2,Feb,3,48.4,52.4,78.3,51,6.7,26.6,33.3,22.3,31.8,23.7
86,1989-03,1989,3,Mar,21,63.5,305.9,87.6,60,4.5,26.3,32.5,22.6,31.0,23.9
87,1989-04,1989,4,Apr,17,39.0,198.6,86.4,53,5.7,27.0,34.5,21.9,31.8,24.0
88,1989-05,1989,5,May,12,38.2,194.0,86.6,55,5.2,27.3,33.3,21.2,31.5,24.5
89,1989-06,1989,6,Jun,12,45.9,117.6,83.3,53,6.0,27.5,33.2,22.3,31.7,24.4
90,1989-07,1989,7,Jul,12,33.3,157.6,82.6,53,6.0,27.7,32.7,22.2,31.6,24.9
91,1989-08,1989,8,Aug,18,81.4,201.0,83.7,48,5.3,27.1,33.3,21.5,31.0,23.9
92,1989-09,1989,9,Sep,14,102.2,247.3,84.4,50,5.5,26.9,32.7,21.3,30.8,24.1
93,1989-10,1989,10,Oct,16,24.9,111.0,83.7,51,5.5,27.1,32.9,21.1,31.3,24.2
94,1989-11,1989,11,Nov,20,148.6,508.4,86.0,56,5.4,26.7,32.8,22.6,31.0,24.0
95,1989-12,1989,12,Dec,18,44.2,179.7,85.5,58,4.8,26.3,32.0,22.5,30.2,23.9
96,1990-01,1990,1,Jan,13,73.9,147.4,83.8,52,5.3,26.2,32.1,22.4,30.3,23.7
97,1990-02,1990,2,Feb,8,6.6,24.1,80.9,38,8.9,27.6,34.0,24.0,32.4,24.9
98,1990-03,1990,3,Mar,4,48.6,94.2,77.6,39,8.3,28.2,34.7,21.4,33.3,25.0
99,1990-04,1990,4,Apr,10,12.0,52.4,81.2,44,6.3,28.5,35.0,23.1,33.4,25.3
100,1990-05,1990,5,May,11,153.7,180.1,81.1,45,6.5,28.6,34.6,23.0,32.8,25.6
101,1990-06,1990,6,Jun,9,76.1,112.6,80.7,46,6.3,28.3,33.8,21.9,32.4,25.4
102,1990-07,1990,7,Jul,12,44.5,124.0,82.7,53,5.9,27.5,33.5,22.6,31.4,24.6
