epoch,accuracy,loss,val_accuracy,val_loss
0,0.541253387928009,1.0149263143539429,0.7554348111152649,0.6961910128593445
1,0.7308035492897034,0.6632300019264221,0.764266312122345,0.6210700273513794
2,0.759693443775177,0.6164026260375977,0.807744562625885,0.5742852687835693
3,0.7802073955535889,0.5676060318946838,0.7663043737411499,0.5869976282119751
4,0.7998196482658386,0.5291287899017334,0.805027186870575,0.512890636920929
5,0.8007213473320007,0.522041380405426,0.78125,0.5402202010154724
6,0.8201082348823547,0.4778571128845215,0.8240489363670349,0.4884660542011261
7,0.8178539276123047,0.47514989972114563,0.8369565010070801,0.47378718852996826
8,0.8284490704536438,0.46825435757637024,0.829483687877655,0.47011420130729675
9,0.8275473117828369,0.46527665853500366,0.8383151888847351,0.47693273425102234
10,0.8108656406402588,0.4778381884098053,0.86548912525177,0.43582114577293396
11,0.8500901460647583,0.41265392303466797,0.8464673757553101,0.4283115565776825
12,0.8512173295021057,0.41284310817718506,0.86888587474823,0.40506619215011597
13,0.8408476114273071,0.42626693844795227,0.80638587474823,0.47097429633140564
14,0.8498647212982178,0.40997642278671265,0.86277174949646,0.41952991485595703
15,0.8620378971099854,0.39729276299476624,0.88111412525177,0.39363372325897217
16,0.8573038578033447,0.3990005850791931,0.8709239363670349,0.4067467749118805
17,0.8593327403068542,0.3907691538333893,0.86888587474823,0.4136245846748352
18,0.8577547073364258,0.3894751965999603,0.882472813129425,0.38668516278266907
19,0.8656447529792786,0.37956884503364563,0.86888587474823,0.38050511479377747
20,0.8706041574478149,0.3687898814678192,0.8614130616188049,0.39021235704421997
21,0.8706041574478149,0.36408504843711853,0.88111412525177,0.36773937940597534
22,0.8584310412406921,0.38159000873565674,0.88451087474823,0.36368632316589355
23,0.8746618628501892,0.357043594121933,0.876358687877655,0.3933267891407013
24,0.8694770336151123,0.3644599914550781,0.8254076242446899,0.42608433961868286
25,0.8775924444198608,0.3513779044151306,0.8539401888847351,0.39074432849884033
26,0.8793958425521851,0.34089720249176025,0.88722825050354,0.34467026591300964
27,0.8660956025123596,0.3737247884273529,0.8682065010070801,0.35678207874298096
28,0.8791704177856445,0.3492470681667328,0.890625,0.36082911491394043
29,0.8805229663848877,0.35110533237457275,0.8722826242446899,0.38318249583244324
30,0.8708295822143555,0.3573092222213745,0.8817934989929199,0.32898572087287903
31,0.8609107136726379,0.37873172760009766,0.8817934989929199,0.34107932448387146
32,0.8753381371498108,0.3415958881378174,0.8899456262588501,0.3616415858268738
33,0.8769161701202393,0.3456476032733917,0.85597825050354,0.3985992968082428
34,0.8798466920852661,0.337550550699234,0.9130434989929199,0.3173213303089142
35,0.8764652609825134,0.35247600078582764,0.8491848111152649,0.4122941792011261
36,0.8884130120277405,0.31948211789131165,0.885869562625885,0.3338652551174164
37,0.8902164101600647,0.30697837471961975,0.8838315010070801,0.3306345045566559
38,0.8870604038238525,0.3232024908065796,0.8960598111152649,0.30683162808418274
39,0.8875112533569336,0.32000038027763367,0.8885869383811951,0.33143851161003113
40,0.8845807313919067,0.3254631757736206,0.88722825050354,0.354642778635025
41,0.8802975416183472,0.33208996057510376,0.8804348111152649,0.3258154094219208
42,0.8884130120277405,0.3165241479873657,0.889266312122345,0.32102033495903015
43,0.8857078552246094,0.3169456720352173,0.9021739363670349,0.3176763653755188
