year,month_num,month,rainy_days,highest_daily_rainfall,total_rainfall,mean_relative_humidity,mean_sunshine_hours,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1988,9,Sep,14,187.3,440.4,84.5,4.8,27.1,31.0,24.5
1988,10,Oct,17,39.8,134.6,83.2,4.1,27.5,31.5,24.5
1988,11,Nov,23,111.9,401.4,86.8,3.7,26.3,30.3,23.7
1988,12,Dec,11,22.0,62.9,81.1,5.7,26.2,30.4,23.9
1989,1,Jan,10,53.0,189.7,84.1,5.8,26.5,30.9,23.9
1989,2,Feb,3,48.4,52.4,78.3,6.7,26.6,31.8,23.7
1989,3,Mar,21,63.5,305.9,87.6,4.5,26.3,31.0,23.9
1989,4,Apr,17,39.0,198.6,86.4,5.7,27.0,31.8,24.0
1989,5,May,12,38.2,194.0,86.6,5.2,27.3,31.5,24.5
1989,6,Jun,12,45.9,117.6,83.3,6.0,27.5,31.7,24.4
1989,7,Jul,12,33.3,157.6,82.6,6.0,27.7,31.6,24.9
1989,8,Aug,18,81.4,201.0,83.7,5.3,27.1,31.0,23.9
1989,9,Sep,14,102.2,247.3,84.4,5.5,26.9,30.8,24.1
1989,10,Oct,16,24.9,111.0,83.7,5.5,27.1,31.3,24.2
1989,11,Nov,20,148.6,508.4,86.0,5.4,26.7,31.0,24.0
1989,12,Dec,18,44.2,179.7,85.5,4.8,26.3,30.2,23.9
1990,1,Jan,13,73.9,147.4,83.8,5.3,26.2,30.3,23.7
1990,2,Feb,8,6.6,24.1,80.9,8.9,27.6,32.4,24.9
1990,3,Mar,4,48.6,94.2,77.6,8.3,28.2,33.3,25.0
1990,4,Apr,10,12.0,52.4,81.2,6.3,28.5,33.4,25.3
1990,5,May,11,153.7,180.1,81.1,6.5,28.6,32.8,25.6
1990,6,Jun,9,76.1,112.6,80.7,6.3,28.3,32.4,25.4
1990,7,Jul,12,44.5,124.0,82.7,5.9,27.5,31.4,24.6
1990,8,Aug,13,38.3,146.6,82.3,5.8,28.0,31.4,25.1
1990,9,Sep,17,44.5,204.5,83.2,5.1,27.2,31.3,24.2
1990,10,Oct,12,20.2,56.4,83.5,5.9,27.5,31.8,24.9
1990,11,Nov,17,46.9,180.4,83.5,4.6,27.2,31.3,24.7
1990,12,Dec,16,33.5,201.1,86.0,5.5,26.3,30.2,24.1
1991,1,Jan,13,36.2,123.9,84.1,5.6,26.7,30.9,24.2
1991,2,Feb,7,17.9,45.5,81.6,7.0,27.1,31.8,24.1
1991,3,Mar,10,48.6,92.4,79.9,7.1,27.8,32.4,24.7
